NID,Plot,Trail,Study,Species,Year,PlotYear,ident,FATE,EXP,OrdDate,TrailDist,RoadDist,EdgeDist,WTR,WBH,GPH,Core500,Edge60m,Core10km,Edge6010km,PatchArea,CoreArea,TrailType,UseLevel,PlotType,PatchType
101,UWT,UWT,MJP,AMRO,2009,UWT-09,01-01_2009,1,5,149,115.8,936.53,116.01,4.5,9.8,0.655,0.89793578,0.05733945,0.237312997,0.094030218,493.1557688,493.1557688,Old Road,H,R,Core
101,UWT,UWT,MJP,AMRO,2009,UWT-09,01-01_2009,1,4,153,115.8,936.53,116.01,4.5,9.8,0.655,0.89793578,0.05733945,0.237312997,0.094030218,493.1557688,493.1557688,Old Road,H,R,Core
101,UWT,UWT,MJP,AMRO,2009,UWT-09,01-01_2009,1,3,156,115.8,936.53,116.01,4.5,9.8,0.655,0.89793578,0.05733945,0.237312997,0.094030218,493.1557688,493.1557688,Old Road,H,R,Core
101,UWT,UWT,MJP,AMRO,2009,UWT-09,01-01_2009,1,5,161,115.8,936.53,116.01,4.5,9.8,0.655,0.89793578,0.05733945,0.237312997,0.094030218,493.1557688,493.1557688,Old Road,H,R,Core
101,UWT,UWT,MJP,AMRO,2009,UWT-09,01-01_2009,1,5,166,115.8,936.53,116.01,4.5,9.8,0.655,0.89793578,0.05733945,0.237312997,0.094030218,493.1557688,493.1557688,Old Road,H,R,Core
103,UWT,UWT,MJP,AMRO,2009,UWT-09,01-03_2009,1,5,166,65.5,869.9,68.61,4.5,9.8,0.655,0.912100457,0.051369863,0.236258479,0.093652603,493.1557688,493.1557688,Old Road,H,R,Core
103,UWT,UWT,MJP,AMRO,2009,UWT-09,01-03_2009,1,4,170,65.5,869.9,68.61,4.5,9.8,0.655,0.912100457,0.051369863,0.236258479,0.093652603,493.1557688,493.1557688,Old Road,H,R,Core
103,UWT,UWT,MJP,AMRO,2009,UWT-09,01-03_2009,1,4,174,65.5,869.9,68.61,4.5,9.8,0.655,0.912100457,0.051369863,0.236258479,0.093652603,493.1557688,493.1557688,Old Road,H,R,Core
201,UWT,UWT,MJP,AMRO,2009,UWT-09,02-01_2009,1,5,149,64.6,618.89,152.67,4.1,10.1,0.655,0.925799087,0.059360731,0.23250424,0.092251673,493.1557688,493.1557688,Old Road,H,R,Core
201,UWT,UWT,MJP,AMRO,2009,UWT-09,02-01_2009,1,4,153,64.6,618.89,152.67,4.1,10.1,0.655,0.925799087,0.059360731,0.23250424,0.092251673,493.1557688,493.1557688,Old Road,H,R,Core
201,UWT,UWT,MJP,AMRO,2009,UWT-09,02-01_2009,1,3,156,64.6,618.89,152.67,4.1,10.1,0.655,0.925799087,0.059360731,0.23250424,0.092251673,493.1557688,493.1557688,Old Road,H,R,Core
201,UWT,UWT,MJP,AMRO,2009,UWT-09,02-01_2009,1,5,161,64.6,618.89,152.67,4.1,10.1,0.655,0.925799087,0.059360731,0.23250424,0.092251673,493.1557688,493.1557688,Old Road,H,R,Core
203,UWT,UWT,MJP,AMRO,2009,UWT-09,02-03_2009,0,3,156,28.1,812.12,43.25,4.1,10.1,0.655,0.98163031,0.01836969,0.236723363,0.093060366,493.1557688,493.1557688,Old Road,H,R,Core
206,UWT,UWT,MJP,AMRO,2009,UWT-09,02-06_2009,1,3,177,67.8,441.73,208.92,4.1,10.1,0.655,0.756880734,0.145642202,0.232890801,0.090788765,493.1557688,493.1557688,Old Road,H,R,Core
209,UWT,UWT,MJP,AMRO,2009,UWT-09,02-09_2009,1,4,202,24.2,596.51,164.67,4.1,10.1,0.655,0.917525773,0.053837342,0.232931106,0.091913618,493.1557688,493.1557688,Old Road,H,R,Core
209,UWT,UWT,MJP,AMRO,2009,UWT-09,02-09_2009,1,4,206,24.2,596.51,164.67,4.1,10.1,0.655,0.917525773,0.053837342,0.232931106,0.091913618,493.1557688,493.1557688,Old Road,H,R,Core
209,UWT,UWT,MJP,AMRO,2009,UWT-09,02-09_2009,1,3,209,24.2,596.51,164.67,4.1,10.1,0.655,0.917525773,0.053837342,0.232931106,0.091913618,493.1557688,493.1557688,Old Road,H,R,Core
401,UEM,UEM,MJP,AMRO,2009,UEM-09,04-01_2009,1,5,161,25.3,866.76,551.32,2.2,7.9,0.216,0.997709049,0.002290951,0.22969493,0.096933729,493.1557688,493.1557688,Constructed,H,C,Core
401,UEM,UEM,MJP,AMRO,2009,UEM-09,04-01_2009,0,5,166,25.3,866.76,551.32,2.2,7.9,0.216,0.997709049,0.002290951,0.22969493,0.096933729,493.1557688,493.1557688,Constructed,H,C,Core
403,UEM,UEM,MJP,AMRO,2009,UEM-09,04-03_2009,1,5,166,56.3,855.38,606.36,2.2,7.9,0.216,1,0,0.229523875,0.096665284,493.1557688,493.1557688,Constructed,H,C,Core
403,UEM,UEM,MJP,AMRO,2009,UEM-09,04-03_2009,1,4,170,56.3,855.38,606.36,2.2,7.9,0.216,1,0,0.229523875,0.096665284,493.1557688,493.1557688,Constructed,H,C,Core
403,UEM,UEM,MJP,AMRO,2009,UEM-09,04-03_2009,1,4,174,56.3,855.38,606.36,2.2,7.9,0.216,1,0,0.229523875,0.096665284,493.1557688,493.1557688,Constructed,H,C,Core
403,UEM,UEM,MJP,AMRO,2009,UEM-09,04-03_2009,0,3,177,56.3,855.38,606.36,2.2,7.9,0.216,1,0,0.229523875,0.096665284,493.1557688,493.1557688,Constructed,H,C,Core
404,UEM,UEM,MJP,AMRO,2009,UEM-09,04-04_2009,0,5,167,107.7,754,706.79,2.2,7.9,0.216,1,0,0.2291496,0.095724285,493.1557688,493.1557688,Constructed,H,C,Core
501,EB5,EB5,MJP,AMRO,2009,EB5-09,05-01_2009,0,5,150,8.7,601.18,352.26,3.9,10.5,1.509,0.946162658,0.042382589,0.243982375,0.096264804,493.1557688,493.1557688,Old Road,H,R,Core
502,EB5,EB5,MJP,AMRO,2009,EB5-09,05-02_2009,1,5,150,9.4,543.66,322.04,3.9,10.5,1.509,0.929885057,0.057471264,0.244466472,0.096767262,493.1557688,493.1557688,Old Road,H,R,Core
502,EB5,EB5,MJP,AMRO,2009,EB5-09,05-02_2009,1,4,154,9.4,543.66,322.04,3.9,10.5,1.509,0.929885057,0.057471264,0.244466472,0.096767262,493.1557688,493.1557688,Old Road,H,R,Core
502,EB5,EB5,MJP,AMRO,2009,EB5-09,05-02_2009,1,4,158,9.4,543.66,322.04,3.9,10.5,1.509,0.929885057,0.057471264,0.244466472,0.096767262,493.1557688,493.1557688,Old Road,H,R,Core
502,EB5,EB5,MJP,AMRO,2009,EB5-09,05-02_2009,1,4,162,9.4,543.66,322.04,3.9,10.5,1.509,0.929885057,0.057471264,0.244466472,0.096767262,493.1557688,493.1557688,Old Road,H,R,Core
502,EB5,EB5,MJP,AMRO,2009,EB5-09,05-02_2009,1,5,167,9.4,543.66,322.04,3.9,10.5,1.509,0.929885057,0.057471264,0.244466472,0.096767262,493.1557688,493.1557688,Old Road,H,R,Core
502,EB5,EB5,MJP,AMRO,2009,EB5-09,05-02_2009,1,4,171,9.4,543.66,322.04,3.9,10.5,1.509,0.929885057,0.057471264,0.244466472,0.096767262,493.1557688,493.1557688,Old Road,H,R,Core
502,EB5,EB5,MJP,AMRO,2009,EB5-09,05-02_2009,1,4,175,9.4,543.66,322.04,3.9,10.5,1.509,0.929885057,0.057471264,0.244466472,0.096767262,493.1557688,493.1557688,Old Road,H,R,Core
504,EB5,EB5,MJP,AMRO,2009,EB5-09,05-04_2009,1,4,158,84.2,594.44,414.69,3.9,10.5,1.509,0.965556831,0.026406429,0.244468573,0.09769919,493.1557688,493.1557688,Old Road,H,R,Core
504,EB5,EB5,MJP,AMRO,2009,EB5-09,05-04_2009,1,4,162,84.2,594.44,414.69,3.9,10.5,1.509,0.965556831,0.026406429,0.244468573,0.09769919,493.1557688,493.1557688,Old Road,H,R,Core
504,EB5,EB5,MJP,AMRO,2009,EB5-09,05-04_2009,1,5,167,84.2,594.44,414.69,3.9,10.5,1.509,0.965556831,0.026406429,0.244468573,0.09769919,493.1557688,493.1557688,Old Road,H,R,Core
504,EB5,EB5,MJP,AMRO,2009,EB5-09,05-04_2009,1,4,171,84.2,594.44,414.69,3.9,10.5,1.509,0.965556831,0.026406429,0.244468573,0.09769919,493.1557688,493.1557688,Old Road,H,R,Core
504,EB5,EB5,MJP,AMRO,2009,EB5-09,05-04_2009,1,4,175,84.2,594.44,414.69,3.9,10.5,1.509,0.965556831,0.026406429,0.244468573,0.09769919,493.1557688,493.1557688,Old Road,H,R,Core
